State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2014
estimated 
population",
ALABAMA5  ,Under 18,144,3,84,0,0,2,1,3,80,0,1,22,0,1,0,3,0,1,0,0,9,0,0,1,1,1,6,0,12,0,0,1,"84,843",
,Total all ages,"1,815",33,695,1,1,20,11,15,679,0,1,218,8,19,7,22,5,15,0,0,220,0,0,162,7,119,21,8,256,0,0,,,
ALASKA,Under 18,"1,863",129,604,1,10,22,96,71,491,24,18,201,2,7,4,3,121,35,0,22,199,0,2,26,243,15,28,0,217,0,5,28,"469,145",
,Total all ages,"25,935","1,577","3,451",19,87,208,"1,263",282,"2,824",204,141,"3,134",77,182,62,24,732,218,36,250,"1,159",0,187,"2,336","1,171",125,731,0,"10,461",17,5,,,
ARIZONA,Under 18,"26,173",821,"5,953",12,46,220,543,768,"4,838",285,62,"3,589",18,57,5,82,"2,036",180,6,291,"3,475",0,223,218,"2,682",0,"1,591",45,"3,523",0,"1,378",86,"6,303,555",
,Total all ages,"261,448","8,899","41,250",181,303,"1,593","6,822","3,893","35,580","1,579",198,"25,530","1,140","2,076",156,"1,182","10,747","2,370",855,"1,629","29,670",6,"2,466","26,843","14,323",0,"14,777",288,"75,863",0,"1,378",,,
ARKANSAS,Under 18,"7,936",340,"2,121",2,45,83,210,390,"1,644",81,6,"1,443",12,27,1,110,253,100,1,26,676,0,3,59,264,85,562,0,"1,649",0,204,251,"2,631,837",
,Total all ages,"119,850","3,998","15,484",86,243,582,"3,087","2,176","12,845",413,50,"10,590",724,"1,256",44,"1,138","1,252",898,222,118,"11,168",8,277,"6,844","1,918","5,912","2,462",542,"54,791",0,204,,,
CALIFORNIA ,Under 18,"83,391","7,899","18,970",95,275,"2,735","4,794","6,902","10,408","1,367",293,"10,336",85,227,12,"1,454","4,331","3,716",181,"1,205","8,463",15,5,526,"2,155","1,548","2,978",172,"15,877",0,"3,236",684,"38,716,884",
,Total all ages,"1,217,089","106,058","134,746","1,427","2,443","14,793","87,395","48,498","71,440","13,755","1,053","78,126","5,222","6,551","1,047","17,379","17,175","24,484","9,153","9,727","229,083",285,316,"155,285","15,673","89,901","6,308","8,105","299,229",0,"3,236",,,
COLORADO,Under 18,"26,879",547,"5,999",13,51,120,363,471,"5,108",297,123,"1,752",8,91,6,29,975,336,2,150,"3,374",1,57,253,"1,966",52,"2,262",0,"7,411",0,"1,608",208,"5,195,484",
